name,creation_time,modification_time,size
alfonse.txt,2024-08-16T01:34:15.879226,2024-08-16T01:34:15.879226,0
frog.txt,2024-08-16T01:52:35.793968,2024-08-16T01:52:35.793968,0
pop.txt,2024-08-16T01:59:24.801749,2024-08-16T02:00:44.119476,5
test - Copie (10).txt,2024-08-14T14:36:10.916942,2024-08-14T14:35:51.069593,0
test - Copie (11).txt,2024-08-14T14:36:11.219518,2024-08-14T14:35:51.069593,0
test - Copie (12).txt,2024-08-14T14:36:11.428550,2024-08-15T20:58:44.069227,11
test - Copie (14).txt,2024-08-14T14:36:11.772957,2024-08-16T00:41:21.272425,20
test - Copie (15).txt,2024-08-14T14:36:11.821566,2024-08-15T21:35:14.760355,13
test - Copie (16).txt,2024-08-14T14:36:12.118477,2024-08-15T21:35:50.653805,15
test - Copie (2).txt,2024-08-14T14:36:07.247393,2024-08-14T14:35:51.069593,0
test - Copie (3).txt,2024-08-14T14:36:08.023833,2024-08-14T14:35:51.069593,0
test - Copie (4).txt,2024-08-14T14:36:08.743036,2024-08-16T00:40:39.575295,60
test - Copie (5).txt,2024-08-14T14:36:09.227295,2024-08-16T01:41:53.814934,17
test - Copie (7).txt,2024-08-14T14:36:10.086011,2024-08-15T21:20:55.560450,24
test - Copie (8).txt,2024-08-14T14:36:10.490237,2024-08-14T14:36:34.622687,289
test - Copie (9).txt,2024-08-14T14:36:10.698629,2024-08-15T21:23:24.277184,5
test - Copie - Copie (2).txt,2024-08-15T22:40:20.095546,2024-08-15T21:39:26.025579,11
test - Copie - Copie (3).txt,2024-08-15T22:40:22.343513,2024-08-15T21:39:26.025579,11
test - Copie - Copie - Copie.txt,2024-08-16T00:47:40.605829,2024-08-16T00:47:47.344946,19
test - Copie - Copie.txt,2024-08-16T00:41:36.440094,2024-08-15T21:39:26.025579,11
test - Copie.txt,2024-08-14T14:36:06.396932,2024-08-15T21:39:26.025579,11
test.txt,2024-08-14T14:35:51.069593,2024-08-14T14:39:29.847846,10
cat.txt,2024-08-16T01:54:39.212416,2024-08-16T01:54:39.212416,0
